Fid,Temp,Wind,Date_Time,Age_band_of_driver,Sex_of_driver,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Types_of_Junction,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Cause_of_accident,Accident_severity,Ambulace_Allocated,Ambulace_Pickedup,LATITUDE,LONGITUDE,Label
216.58.219.195-10.42.0.211-443-53059-6,28,6.4,09-11-22 15:01,40,Male,Employee,1-2yr,Other,Office areas,No junction,Vehicle with vehicle collision,1,1,Going straight,Changing lane to the right,Serious Injury,No,No,37.42118576,-121.9582524,1
172.217.3.99-10.42.0.42-443-56846-6,26,6.3,09-11-22 15:04,55,Male,Employee,5-10yr,Ridden horse,Office areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,No distancing,Serious Injury,Yes,Yes,37.9763,-120.345171,0
10.42.0.42-66.231.239.124-47794-443-6,22,6.4,09-11-22 15:10,40,Male,Employee,Below 1yr,Lorry (41?100Q),Residential areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,No distancing,Serious Injury,Yes,Yes,33.00214,-117.087831,0
10.42.0.211-121.12.98.64-56594-80-6,33,5.1,09-11-22 15:15,50,Male,Employee,Below 1yr,Lorry (41?100Q),Office areas,Y Shape,Vehicle with vehicle collision,2,1,Moving Backward,Overturning,Serious Injury,Yes,Yes,37.77563,-122.494281,0
10.42.0.151-119.146.74.33-38971-443-6,28,7.9,09-11-22 15:22,55,Male,Employee,1-3yr,Pick up upto 10Q,Residential areas,Y Shape,Collision with roadside objects,2,1,Going straight,Driving at high speed,Serious Injury,Yes,Yes,33.4955763,-117.6684528,0
10.42.0.211-121.12.98.64-57445-80-6,26,5.5,09-11-22 15:26,60,Male,Employee,Below 1yr,Lorry (11?40Q),Office areas,Crossing,Vehicle with vehicle collision,2,1,Moving Backward,No priority to vehicle,Slight Injury,Yes,Yes,35.27605,-120.648561,0
10.42.0.211-10.42.0.1-30214-53-17,29,6.2,09-11-22 15:27,30,Male,Employee,1-2yr,Automobile,Other,Crossing,Vehicle with vehicle collision,2,1,Moving Backward,No priority to pedestrian,Slight Injury,No,No,37.36765925,-121.9908685,1
172.217.6.206-10.42.0.42-443-46487-6,34,6,09-11-22 15:34,35,Female,Employee,2-5yr,Automobile,Office areas,Crossing,Vehicle with vehicle collision,2,1,Going straight,No priority to vehicle,Slight Injury,No,No,34.16767364,-118.5322401,1
10.42.0.211-72.21.206.135-60695-443-6,24,6.9,09-11-22 15:36,35,Male,Employee,1-2yr,Pick up upto 10Q,School areas,Crossing,Vehicle with vehicle collision,2,1,Other,Other,Slight Injury,Yes,Yes,37.44499,-122.146891,0
216.58.219.206-10.42.0.42-443-52002-6,33,2.9,09-11-22 15:38,65,Male,Employee,5-10yr,Automobile,Residential areas,No junction,Rollover,2,2,Going straight,Other,Slight Injury,Yes,Yes,37.28802477,-121.8750154,0
10.42.0.211-10.42.0.1-11370-53-17,25,3.1,09-11-22 15:38,65,Male,Employee,Below 1yr,Other,Office areas,No junction,Vehicle with vehicle collision,2,2,Other,Moving Backward,Slight Injury,Yes,Yes,34.16881882,-118.1188243,0
157.240.18.19-10.42.0.151-443-39420-6,30,2.6,09-11-22 15:50,30,Male,Employee,Above 10yr,Lorry (41?100Q),Residential areas,No junction,Vehicle with vehicle collision,2,2,Going straight,No distancing,Slight Injury,No,No,37.43551841,-122.1099385,1
10.42.0.151-10.42.0.1-2406-53-17,25,3.2,09-11-22 15:53,55,Male,Owner,5-10yr,Public (13?45 seats),Office areas,Unknown,Collision with roadside objects,2,2,Reversing,Moving Backward,Slight Injury,No,No,34.42865733,-119.7069726,1
219.142.78.162-10.42.0.42-80-47657-6,34,4.5,09-11-22 15:57,40,Male,Employee,Below 1yr,Pick up upto 10Q,Office areas,Unknown,Vehicle with vehicle collision,2,2,,No priority to vehicle,Slight Injury,No,No,32.94956,-117.065441,1
10.42.0.211-66.231.239.120-41816-443-6,23,2.5,09-11-22 16:01,25,Male,Employee,5-10yr,Stationwagen,Residential areas,Unknown,Vehicle with vehicle collision,2,2,Going straight,Driving carelessly,Slight Injury,No,No,34.0596501,-117.276937,1
172.217.3.110-10.42.0.211-443-58804-6,34,2.3,09-11-22 16:05,30,Male,Owner,5-10yr,Other,Other,Y Shape,Vehicle with vehicle collision,2,2,Going straight,No distancing,Slight Injury,No,No,33.56058328,-117.133904,1
172.217.11.3-10.42.0.151-443-58879-6,28,5.9,09-11-22 16:08,45,Male,Employee,2-5yr,Pick up upto 10Q, Industrial areas,Y Shape,Collision with roadside objects,2,2,Going straight,Other,Slight Injury,Yes,Yes,33.82248785,-118.3366267,0
10.42.0.211-64.71.142.125-54969-443-6,26,4.7,09-11-22 16:15,40,Male,Employee,Above 10yr,Public (13?45 seats),Office areas,Y Shape,Collision with roadside objects,2,2,Going straight,Changing lane to the right,Slight Injury,No,No,34.11957682,-116.3766021,1
151.101.1.140-10.42.0.151-443-33967-6,35,5.7,09-11-22 16:15,45,Male,Employee,5-10yr,Public (12 seats),  Recreational areas,Y Shape,Vehicle with vehicle collision,2,2,Going straight,No distancing,Slight Injury,Yes,Yes,34.15787539,-118.3944864,0
172.217.10.42-10.42.0.151-443-49491-6,25,5.1,09-11-22 16:19,55,Male,Employee,1-2yr,Lorry (41?100Q),Residential areas,Crossing,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight Injury,Yes,Yes,37.36404902,-122.1048075,0
10.42.0.211-98.139.180.180-54400-443-6,27,3.9,09-11-22 16:22,55,Male,Employee,Above 10yr,Pick up upto 10Q,Residential areas,Crossing,Collision with roadside objects,2,1,Other,No distancing,Slight Injury,Yes,Yes,34.2924736,-119.2971074,0
1.31.173.43-10.42.0.42-80-37242-6,24,3.9,09-11-22 16:26,75,Male,Owner,2-5yr,Lorry (41?100Q), Church areas,Y Shape,Collision with roadside objects,2,2,Going straight,No priority to vehicle,Slight Injury,No,No,39.52832409,-104.9845367,1
10.42.0.211-13.107.3.128-46009-443-6,29,6.2,09-11-22 16:27,55,Male,Employee,5-10yr,Pick up upto 10Q,Residential areas,Y Shape,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the right,Slight Injury,Yes,Yes,39.74059081,-105.0038211,0
10.42.0.211-23.7.59.140-59601-80-6,33,4.2,09-11-22 16:30,45,Male,Employee,Below 1yr,Long lorry,,Y Shape,Collision with pedestrians,2,2,Going straight,No priority to pedestrian,Slight Injury,No,No,39.93704277,-105.0570034,1
10.42.0.151-31.13.80.52-43661-443-6,26,2.7,09-11-22 16:36,50,Male,Employee,5-10yr,Car,Other,Y Shape,Vehicle with vehicle collision,2,1,Going straight,No priority to vehicle,Slight Injury,Yes,Yes,39.91556518,-105.0660262,0
10.42.0.42-64.71.142.110-54239-80-6,35,4.3,09-11-22 16:45,75,Male,Employee,Above 10yr,Other,Other,Y Shape,Vehicle with vehicle collision,2,1,Reversing,Changing lane to the left,Slight Injury,No,No,40.08835621,-108.7796481,1
10.42.0.211-106.39.169.66-49273-80-6,29,2.2,09-11-22 16:55,35,Unknown,Employee,5-10yr,Car, Church areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Turnover,Slight Injury,Yes,Yes,39.71009375,-105.0313629,0
157.55.235.173-10.42.0.151-40024-43477-17,29,2.3,09-11-22 17:30,30,Male,Employee,1-2yr,Public (13?45 seats),Other,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Driving to the left,Slight Injury,No,No,40.278516,-103.696948,1
198.105.244.11-10.42.0.151-80-54721-6,34,1.9,09-11-22 18:03,35,Male,Employee,1-3yr,Special vehicle, Church areas,Y Shape,Vehicle with vehicle collision,2,1,Other,Driving carelessly,Slight Injury,No,No,39.73394628,-105.0772619,1
10.42.0.211-23.194.141.104-36093-443-6,25,2.5,09-11-22 18:19,40,Male,Employee,1-2yr,Lorry (41?100Q), Church areas,Y Shape,Collision with roadside objects,2,1,Going straight,Driving to the left,Slight Injury,Yes,Yes,39.59518089,-105.0170214,0
172.217.8.4-10.42.0.42-443-56022-6,23,6.1,09-11-22 18:25,60,Male,Employee,Above 10yr,Lorry (41?100Q),Other,Y Shape,Collision with roadside objects,2,1,Going straight,Driving carelessly,Slight Injury,No,No,37.93962687,-107.8144916,1
10.42.0.42-104.244.43.163-43387-443-6,29,3,09-11-22 18:31,70,Male,Employee,1-2yr,Public (> 45 seats),Other,Y Shape,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight Injury,Yes,Yes,40.05067932,-105.2034212,0
216.58.217.163-10.42.0.151-80-49128-6,29,3.8,09-11-22 18:36,30,Male,Employee,5-10yr,Automobile,School areas,Y Shape,Vehicle with vehicle collision,2,1,Turnover,Driving carelessly,Slight Injury,Yes,Yes,39.50828482,-104.7585478,0
172.217.10.78-10.42.0.151-443-41579-6,25,3.2,09-11-22 18:40,40,Male,Employee,2-5yr,Automobile,Residential areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury,No,No,30.19350033,-81.75688514,1
175.100.207.232-10.42.0.42-443-37651-6,28.5,1.6,09-11-22 18:45,50,Male,Owner,1-3yr,Automobile,Other,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Moving Backward,Slight Injury,No,No,41.76629061,-72.7131292,1
151.101.129.140-10.42.0.42-443-48109-6,30,5.1,09-11-22 18:50,40,Male,Employee,2-5yr,Public (> 45 seats),Office areas,Y Shape,Vehicle with vehicle collision,2,1,Reversing,Driving carelessly,Slight Injury,Yes,Yes,30.30732074,-81.64022646,0
203.205.147.229-10.42.0.211-80-56218-6,29,3,09-11-22 18:54,20,Male,Employee,2-5yr,Lorry (11?40Q),Residential areas,No junction,Vehicle with vehicle collision,2,2,Other,Changing lane to the right,Slight Injury,No,No,41.18749492,-73.42580839,1
10.42.0.211-31.13.69.228-50327-443-6,30,3.8,09-11-22 18:58,45,Male,Employee,Above 10yr,Pick up upto 10Q,Other,No junction,Vehicle with vehicle collision,2,2,Going straight,Driving carelessly,Slight Injury,Yes,Yes,30.25183393,-81.83762077,0
172.217.7.131-10.42.0.151-443-41478-6,29,1.8,09-11-22 19:03,40,Male,Employee,1-2yr,Lorry (11?40Q),Residential areas,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight Injury,No,No,30.27782107,-81.60023517,1
216.58.219.234-10.42.0.211-443-42992-6,29,3.3,09-11-22 19:06,50,Male,Owner,1-2yr,Pick up upto 10Q,Residential areas,Y Shape,Vehicle with vehicle collision,2,1,Moving Backward,Driving carelessly,Slight Injury,Yes,Yes,30.30982236,-81.73918982,0
183.232.231.30-10.42.0.211-443-43561-6,29,2.2,10-11-22 8:49,75,Male,Employee,No Licence,Special vehicle,Residential areas,No junction,Vehicle with vehicle collision,3,4,Reversing,Changing lane to the right,Serious Injury,No,No,30.17739518,-81.60628516,1
172.217.12.142-10.42.0.151-443-55148-17,28.5,4.4,10-11-22 9:02,60,Male,Employee,1-2yr,Lorry (11?40Q),Other,No junction,Other,3,4,Going straight,Changing lane to the right,Serious Injury,Yes,Yes,30.19832831,-81.61360994,0
10.42.0.211-88.212.196.72-59616-443-6,28.5,2.4,10-11-22 9:09,40,Male,Employee,5-10yr,Car,Other,No junction,Vehicle with vehicle collision,3,4,Going straight,Driving carelessly,Serious Injury,Yes,Yes,30.28534902,-81.40757227,0
10.42.0.211-10.42.0.1-40491-53-17,29,2.8,10-11-22 9:28,25,Male,Employee,Above 10yr,Car,Other,No junction,Collision with roadside objects,3,4,Moving Backward,Overtaking,Serious Injury,Yes,Yes,30.31324294,-81.77748862,0
10.42.0.211-10.42.0.1-65530-53-17,30,3.9,10-11-22 9:33,70,Male,Employee,Above 10yr,Lorry (41?100Q), Hospital areas,No junction,Vehicle with vehicle collision,3,4,Going straight,Changing lane to the right,Serious Injury,Yes,Yes,30.41479585,-81.73812613,0
10.42.0.211-54.230.51.24-49038-80-6,29.5,5.1,10-11-22 9:34,70,Male,Owner,5-10yr,Other,Residential areas,No junction,Vehicle with vehicle collision,3,4,Going straight,No distancing,Serious Injury,Yes,Yes,30.20978104,-81.73726832,0
10.42.0.211-10.42.0.1-47932-53-17,29.5,5.1,10-11-22 9:38,30,Male,Employee,2-5yr,Other,Residential areas,Y Shape,Vehicle with vehicle collision,3,2,Going straight,Other,Slight Injury,No,No,30.35939556,-81.49453149,1
175.100.207.232-10.42.0.211-80-35187-6,29,3.8,10-11-22 9:57,45,Male,Employee,2-5yr,Automobile,Residential areas,Y Shape,Vehicle with vehicle collision,3,2,Going straight,Changing lane to the right,Slight Injury,No,No,30.32573532,-81.54269545,1
10.42.0.151-31.13.80.5-44780-443-6,30,2.8,10-11-22 9:58,55,Female,Employee,Below 1yr,Other,Other,Y Shape,Vehicle with vehicle collision,3,2,Going straight,Changing lane to the right,Slight Injury,Yes,Yes,30.21734816,-81.55576738,0
172.217.3.99-10.42.0.42-443-58505-6,31,4.2,10-11-22 10:02,25,Male,Employee,2-5yr,Automobile,Office areas,Y Shape,Vehicle with vehicle collision,3,2,Going straight,Overtaking,Slight Injury,Yes,Yes,30.37133137,-81.51459992,0
10.42.0.42-103.235.46.212-52947-443-6,29,3.9,10-11-22 10:02,40,Female,Employee,2-5yr,Public (13?45 seats),Other,Crossing,Collision with roadside objects,4,1,,Other,Slight Injury,Yes,Yes,30.240409,-81.758552,0
8.0.6.4-8.6.0.1-0-0-0,30,4.7,10-11-22 10:03,60,Male,Employee,5-10yr,Lorry (41?100Q),Office areas,Crossing,Collision with roadside objects,4,1,Going straight,Driving to the left,Slight Injury,No,No,30.37200592,-81.74892634,1
10.42.0.211-10.42.0.1-51413-53-17,35,4.3,10-11-22 10:06,35,Male,Employee,Above 10yr,Car,Residential areas,Crossing,Vehicle with vehicle collision,4,1,Reversing,Overtaking,Slight Injury,No,No,30.33530696,-81.71691147,1
10.42.0.151-10.42.0.1-29838-53-17,33,2.6,10-11-22 10:27,25,Male,Owner,1-3yr,Automobile,Office areas,Crossing,Collision with roadside objects,4,1,Going straight,No priority to vehicle,Slight Injury,No,No,30.31239842,-81.76307765,1
10.42.0.211-10.42.0.1-21115-53-17,30,2.5,10-11-22 10:32,40,Male,Employee,2-5yr,Car,Office areas,Y Shape,Collision with roadside objects,2,2,Going straight,Moving Backward,Slight Injury,No,No,30.31959679,-81.55981397,1
172.217.9.234-10.42.0.151-443-51029-6,30,4.2,10-11-22 10:33,40,Male,Employee,5-10yr,Lorry (41?100Q),Other,Y Shape,Vehicle with vehicle collision,2,2,Going straight,Other,Slight Injury,No,No,30.32972535,-81.80370181,1
172.217.10.14-10.42.0.151-443-54354-6,30,2.9,10-11-22 10:37,60,Male,Employee,2-5yr,Car,Office areas,No junction,Vehicle with vehicle collision,3,1,Going straight,No priority to vehicle,Slight Injury,Yes,Yes,30.36541075,-81.603447,0
10.42.0.211-10.42.0.1-39063-53-17,29,3.6,10-11-22 10:39,30,Male,Owner,1-3yr,Lorry (41?100Q),Office areas,No junction,Collision with roadside objects,3,1,Going straight,No priority to pedestrian,Slight Injury,No,No,30.15837518,-81.60440754,1
151.101.1.140-10.42.0.211-443-43647-6,29,2.8,10-11-22 10:41,60,Male,Employee,1-2yr,Taxi,Office areas,No junction,Vehicle with vehicle collision,3,1,Going straight,Changing lane to the right,Slight Injury,Yes,Yes,30.41280904,-81.54486696,0
10.42.0.42-108.174.10.10-55567-443-6,32,4.4,10-11-22 10:46,40,Male,Employee,2-5yr,Lorry (41?100Q),Other,T Shape,Vehicle with vehicle collision,2,5,Other,Changing lane to the right,Slight Injury,Yes,Yes,30.24811207,-81.62385265,0
10.42.0.211-10.42.0.1-1480-53-17,30,3.1,10-11-22 10:48,35,Male,Employee,Above 10yr,Lorry (41?100Q),Residential areas,T Shape,Vehicle with vehicle collision,2,5,Moving Backward,Changing lane to the right,Slight Injury,Yes,Yes,30.32544378,-81.54880885,0
203.205.179.170-10.42.0.151-80-54568-6,30,2.6,10-11-22 10:50,35,Male,Employee,Below 1yr,Other,Residential areas,T Shape,Vehicle with vehicle collision,2,5,Other,Driving to the left,Slight Injury,No,No,30.16190687,-81.60064413,1
10.42.0.1-10.42.0.42-53-24905-17,30,4,10-11-22 10:56,40,Male,Employee,2-5yr,Stationwagen, Church areas,T Shape,Vehicle with vehicle collision,2,5,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,30.28622589,-81.72379722,0
202.77.129.150-10.42.0.211-443-48299-6,29,4.6,10-11-22 11:00,60,Male,Employee,Below 1yr,Stationwagen,Other,T Shape,Vehicle with vehicle collision,2,5,Going straight,Moving Backward,Slight Injury,No,No,30.29225484,-81.43930689,1
10.42.0.211-52.84.37.117-38424-443-6,32,4.7,10-11-22 11:03,40,Male,Employee,5-10yr,Lorry (41?100Q),Residential areas,No junction,Collision with pedestrians,1,1,Going straight,Driving at high speed,Slight Injury,Yes,Yes,30.33392467,-81.59190115,0
172.217.3.110-10.42.0.211-443-49503-6,28,3.8,10-11-22 11:03,50,Female,Employee,1-2yr,Lorry (41?100Q),Other,No junction,Vehicle with vehicle collision,2,1,Other,Moving Backward,Serious Injury,No,No,30.43932701,-81.62191143,1
172.217.11.14-10.42.0.151-443-46014-6,31,4.7,10-11-22 11:04,20,Male,Employee,Below 1yr,Other,Residential areas,No junction,Collision with roadside objects,2,1,Going straight,No distancing,Serious Injury,Yes,Yes,30.19104974,-81.62323474,0
10.42.0.151-104.31.88.167-51115-80-6,30,2.7,10-11-22 11:09,40,Male,Owner,1-3yr,Automobile,Residential areas,No junction,Vehicle with vehicle collision,1,1,,Other,Slight Injury,No,No,30.26319436,-81.86033909,1
10.42.0.151-31.13.71.36-44829-443-6,35,2.5,10-11-22 11:11,60,Male,Employee,Below 1yr,Car,Other,Y Shape,Vehicle with vehicle collision,2,1,Going straight,No priority to vehicle,Slight Injury,No,No,43.11626247,-89.35411997,1
172.217.12.170-10.42.0.151-443-34112-6,,4.2,10-11-22 11:15,45,Male,Employee,Below 1yr,Taxi,Other,Y Shape,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight Injury,Yes,Yes,42.5704709,-87.83787553,0
10.42.0.151-72.247.71.12-50928-443-6,,5,10-11-22 11:17,20,Male,Owner,1-3yr,Lorry (41?100Q),Other,No junction,Vehicle with vehicle collision,1,1,Going straight,Other,Slight Injury,No,No,43.0770809,-88.22588735,1
10.42.0.151-119.146.74.49-50464-443-6,32,5.3,10-11-22 11:20,35,Male,Employee,2-5yr,Other,Other,No junction,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury,Yes,Yes,43.07648367,-89.51607503,0
10.42.0.151-10.42.0.1-43368-53-17,,2.3,10-11-22 11:20,45,Male,Employee,Above 10yr,Automobile,Residential areas,No junction,Vehicle with vehicle collision,2,1,Moving Backward,Driving carelessly,Slight Injury,Yes,Yes,43.19490138,-88.73859798,0
10.42.0.151-23.194.181.192-45016-443-6,23,3.9,10-11-22 11:25,35,Male,Employee,Above 10yr,Public (> 45 seats),  Recreational areas,No junction,Vehicle with vehicle collision,3,2,Moving Backward,No distancing,Serious Injury,No,No,43.26491121,-90.95896219,1
10.42.0.211-54.192.38.236-33074-443-6,17,5.8,10-11-22 11:29,50,Male,Employee,5-10yr,Stationwagen,Other,No junction,Vehicle with vehicle collision,3,2,Going straight,Moving Backward,Serious Injury,No,No,44.98226663,-89.64808196,1
172.217.10.238-10.42.0.151-443-49086-6,26,2.6,10-11-22 11:29,40,Male,Employee,1-2yr,Automobile,Office areas,No junction,Vehicle with vehicle collision,3,2,Going straight,No distancing,Serious Injury,Yes,Yes,30.651699,-88.224713,0
220.243.235.201-10.42.0.211-80-57217-6,22,2.3,10-11-22 11:36,45,Male,Employee,Below 1yr,Lorry (41?100Q),Other,No junction,Collision with roadside objects,2,2,Turnover,Moving Backward,Slight Injury,No,No,30.21963071,-81.60059793,1
10.42.0.211-77.234.44.196-39390-443-6,27,3.9,10-11-22 11:46,40,Male,Employee,Below 1yr,Other,Office areas,No junction,Vehicle with vehicle collision,2,2,Going straight,No priority to pedestrian,Slight Injury,Yes,Yes,30.20633681,-81.62051685,0
10.42.0.211-23.206.125.17-38328-80-6,24,3,10-11-22 11:46,60,Male,Employee,2-5yr,Public (13?45 seats),Office areas,No junction,Collision with roadside objects,2,2,Going straight,Changing lane to the left,Slight Injury,No,No,30.29787408,-81.45804445,1
180.149.136.194-10.42.0.211-80-51675-6,26,4.7,10-11-22 11:48,40,Male,Owner,1-2yr,Other,Office areas,No junction,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury,Yes,Yes,29.54740593,-81.23328498,0
10.42.0.151-121.12.98.64-59108-80-6,26.1,3.4,10-11-22 11:50,65,Male,Employee,5-10yr,Other,Other,No junction,Vehicle with vehicle collision,2,1,Going straight,Other,Slight Injury,No,No,30.27932689,-81.43525258,1
172.217.6.193-10.42.0.151-443-42761-6,26.3,4.2,10-11-22 11:50,45,Male,Employee,2-5yr,Ridden horse,Other,Y Shape,,1,1,Going straight,No distancing,Serious Injury,Yes,Yes,36.84797395,-76.19201835,0
10.42.0.211-10.42.0.1-7849-53-17,26.4,3.8,10-11-22 11:55,55,Male,Owner,5-10yr,Lorry (41?100Q),Office areas,No junction,Collision with pedestrians,4,1,Going straight,No priority to pedestrian,Slight Injury,Yes,Yes,36.88399,-76.133361,0
10.42.0.151-104.244.43.67-33897-443-6,24,2.6,10-11-22 11:56,25,Male,Employee,Above 10yr,Lorry (41?100Q),Residential areas,No junction,Vehicle with vehicle collision,4,1,Going straight,Moving Backward,Slight Injury,Yes,Yes,36.86360174,-75.98101515,0
183.79.249.252-10.42.0.211-443-52905-6,25.8,1.7,10-11-22 11:59,55,Male,Employee,5-10yr,Pick up upto 10Q,  Recreational areas,No junction,Vehicle with vehicle collision,4,1,Going straight,No priority to pedestrian,Slight Injury,Yes,Yes,36.79219,-76.178061,0
10.42.0.211-10.42.0.1-48952-53-17,25.8,3.4,10-11-22 12:06,20,Male,Employee,5-10yr,Lorry (11?40Q),Other,No junction,Vehicle with vehicle collision,4,1,,No distancing,Slight Injury,Yes,Yes,37.34347,-79.20537069,0
209.10.120.26-10.42.0.211-80-47031-6,28.2,5.6,10-11-22 12:09,40,Male,Employee,5-10yr,Automobile,Residential areas,No junction,Collision with pedestrians,1,1,Other,No priority to pedestrian,Slight Injury,No,No,37.63169292,-77.46126413,1
10.42.0.211-10.42.0.1-14992-53-17,28,2.1,10-11-22 12:11,55,Male,Employee,Above 10yr,Automobile,Other,No junction,Collision with roadside objects,2,1,Getting off,Driving carelessly,Slight Injury,No,No,36.74478,-76.072061,1
172.217.11.10-10.42.0.211-443-50859-6,25.5,1.7,10-11-22 12:16,40,Male,Owner,1-2yr,Lorry (11?40Q),Other,No junction,,2,1,Going straight,Getting off the vehicle improperly,Slight Injury,Yes,Yes,37.51919384,-77.39022835,0
172.217.9.234-10.42.0.211-443-45067-6,28,2.7,10-11-22 12:16,60,Male,Employee,2-5yr,Motorcycle,Other,Y Shape,Vehicle with vehicle collision,1,1,Going straight,Driving carelessly,Slight Injury,Yes,Yes,38.35982,-81.653371,0
169.45.248.175-10.42.0.151-5222-48743-6,27.3,3.8,10-11-22 12:19,45,Female,Employee,1-2yr,Lorry (41?100Q),Other,No junction,,2,1,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,38.99347881,-79.16404918,0
10.42.0.42-104.192.110.245-57282-443-6,27.8,3.3,10-11-22 12:21,30,Male,Owner,1-3yr,Stationwagen,Other,No junction,,2,1,Other,No priority to vehicle,Slight Injury,No,No,39.57378138,-79.91157594,1
10.42.0.211-10.42.0.1-36750-53-17,26.4,3,10-11-22 12:22,40,Male,Employee,5-10yr,Automobile,School areas,No junction,,2,1,Going straight,Changing lane to the right,Slight Injury,No,No,38.0953488,-81.25033451,1
10.42.0.211-64.71.142.124-45723-80-6,27.4,4.1,10-11-22 12:26,50,Male,Employee,5-10yr,Other,Office areas,No junction,Vehicle with vehicle collision,2,1,Moving Backward,Changing lane to the right,Slight Injury,No,No,39.32031289,-77.84100721,1
10.42.0.211-10.42.0.1-46408-53-17,28,3.2,10-11-22 12:27,40,Male,Employee,Above 10yr,Other,Office areas,No junction,Vehicle with vehicle collision,2,1,Other,No distancing,Slight Injury,No,No,37.43146383,-81.58228106,1
169.45.214.228-10.42.0.42-5222-38017-6,27,3.2,10-11-22 12:27,40,Male,Employee,2-5yr,Taxi,Office areas,No junction,Collision with roadside objects,2,1,Going straight,No distancing,Slight Injury,No,No,38.06452846,-81.82163779,1
10.42.0.211-103.235.46.39-54447-80-6,27.6,2.2,10-11-22 12:32,50,Male,Owner,Above 10yr,Automobile,School areas,Other,Collision with roadside objects,2,6,Going straight,Changing lane to the left,Serious Injury,Yes,Yes,39.30998,-77.943961,0
174.35.73.199-10.42.0.211-80-42145-6,26.1,2.7,10-11-22 12:34,40,Male,Employee,2-5yr,Long lorry,School areas,Other,Vehicle with vehicle collision,2,6,Going straight,Changing lane to the right,Serious Injury,No,No,39.28201,-80.554491,1
157.56.52.23-10.42.0.151-40033-43477-17,28,1.7,10-11-22 12:39,40,Male,Other,5-10yr,Long lorry,Office areas,Other,Vehicle with vehicle collision,2,6,,No priority to vehicle,Serious Injury,Yes,Yes,43.06785133,-87.99678956,0
10.42.0.211-120.76.223.181-58745-83-6,27.5,2.5,10-11-22 12:39,40,Male,Employee,5-10yr,Lorry (41?100Q),Office areas,Other,Vehicle with vehicle collision,2,6,Going straight,Changing lane to the left,Serious Injury,Yes,Yes,43.655457,-90.997305,0
10.42.0.211-54.88.89.240-46130-443-6,24,4,10-11-22 12:43,20,Male,Owner,5-10yr,Lorry (41?100Q),School areas,Other,Vehicle with vehicle collision,2,6,Going straight,No priority to vehicle,Serious Injury,Yes,Yes,42.649033,-88.36093138,0
172.217.5.227-10.42.0.211-443-48458-6,26,2.4,10-11-22 12:47,50,Male,Employee,5-10yr,Lorry (11?40Q),,Other,Vehicle with vehicle collision,2,6,Going straight,Moving Backward,Serious Injury,No,No,43.82691248,-91.25317022,1
10.42.0.211-52.86.21.31-39405-443-6,27,1.4,10-11-22 12:50,25,Male,Employee,Above 10yr,Automobile,Other,Other,Rollover,2,1,Going straight,Turnover,Slight Injury,Yes,Yes,44.26203669,-88.32626612,0
10.42.0.42-52.7.174.120-51521-443-6,21,4.5,10-11-22 12:55,30,Male,Owner,Below 1yr,Taxi,Other,Other,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight Injury,No,No,43.01862588,-87.98844033,1
10.42.0.211-64.71.142.125-52192-443-6,24,2.5,10-11-22 12:56,50,Male,Employee,5-10yr,Other,Other,Y Shape,Collision with roadside objects,2,1,Going straight,No distancing,Slight Injury,Yes,Yes,42.69062871,-87.82538313,0
162.208.22.39-10.42.0.211-443-45091-6,24.1,3.4,10-11-22 13:01,40,Male,Employee,1-2yr,Automobile,Residential areas,Y Shape,Collision with pedestrians,2,1,Going straight,No distancing,Slight Injury,No,No,44.28816428,-88.40241962,1
10.42.0.211-119.146.74.49-52423-443-6,26,4.3,10-11-22 13:02,30,Female,Owner,1-3yr,Automobile,Other,Y Shape,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the left,Slight Injury,Yes,Yes,45.59215,-92.345411,0
10.42.0.211-106.11.95.2-59955-443-6,28.4,4.5,10-11-22 13:07,40,Male,Employee,Above 10yr,Automobile,Other,Y Shape,Vehicle with vehicle collision,2,2,Going straight,No priority to vehicle,Slight Injury,No,No,44.64807,-88.946681,1
169.45.219.238-10.42.0.211-5222-44998-6,32,2.2,10-11-22 13:07,40,Male,Owner,2-5yr,Automobile, Industrial areas,Y Shape,Vehicle with vehicle collision,2,2,Going straight,Driving at high speed,Slight Injury,No,No,43.17677237,-88.11120879,1
